name,set,SMILES,Ar,R,solvent,concentration,T(K),e.r.,ratio(R),ddG,ddG calib (C=0.05),,
23,a,CC1(C)c2ccccc2-c2ccc(cc12)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1ccc3-c4ccccc4C(C)(C)c3c1)-c1ccc3-c4ccccc4C(C)(C)c3c1)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1ccc2-c3ccccc3C(C)(C)c2c1)=NS(=O)(=O)C(F)(F)F,[C:2][c:1]1ccc2-c3ccccc3C(C)(C)c2c1,FC(F)(F)S(=O)=O,toluene,0.185,313.15,75.0:25.0,0.75,2.8604,3.2038,,
23,b,CC1(C)c2ccccc2-c2ccc(cc12)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1ccc3-c4ccccc4C(C)(C)c3c1)-c1ccc3-c4ccccc4C(C)(C)c3c1)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1ccc2-c3ccccc3C(C)(C)c2c1)=NS(=O)(=O)C(F)(F)F,[C:2][c:1]1ccc2-c3ccccc3C(C)(C)c2c1,FC(F)(F)S(=O)=O,cyclohexane,0.05,333.15,80.0:20.0,0.8,3.84,3.84,,
24,a,Cc1cc(C)c(c(C)c1)-c1ccc(cc1)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1ccc(cc1)-c1c(C)cc(C)cc1C)-c1ccc(cc1)-c1c(C)cc(C)cc1C)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1ccc(cc1)-c1c(C)cc(C)cc1C)=NS(=O)(=O)C(F)(F)F,[C:2][c:1]1ccc(cc1)-c1c(C)cc(C)cc1C,FC(F)(F)S(=O)=O,toluene,0.185,313.15,48.0:52.0,0.48,-0.2084,-0.2334,,
25,a,CC(C)(C)CC(C)(C)c1ccc(cc1)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1ccc(cc1)C(C)(C)CC(C)(C)C)-c1ccc(cc1)C(C)(C)CC(C)(C)C)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1ccc(cc1)C(C)(C)CC(C)(C)C)=NS(=O)(=O)C(F)(F)F,[C:2][c:1]1ccc(cc1)C(C)(C)CC(C)(C)C,FC(F)(F)S(=O)=O,toluene,0.185,313.15,18.0:82.0,0.18,-3.9481,-4.4221,,
26,a,CC1(C)CCC(C)(C)c2cc(ccc12)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1ccc3c(c1)C(C)(C)CCC3(C)C)-c1ccc3c(c1)C(C)(C)CCC3(C)C)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1ccc2c(c1)C(C)(C)CCC2(C)C)=NS(=O)(=O)C(F)(F)F,[C:2][c:1]1ccc2c(c1)C(C)(C)CCC2(C)C,FC(F)(F)S(=O)=O,toluene,0.185,313.15,48.0:52.0,0.48,-0.2084,-0.2334,,
27,b,FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2ccc3-c4ccccc4C4(CCC4)c3c2)-c2ccc3-c4ccccc4C4(CCC4)c3c2)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1ccc2-c3ccccc3C3(CCC3)c2c1)-c1ccc2-c3ccccc3C3(CCC3)c2c1,[C:2][c:1]1ccc2-c3ccccc3C3(CCC3)c2c1,FC(F)(F)S(=O)=O,cyclohexane,0.05,333.15,79.0:21.0,0.79,3.67,3.67,,
28,a,FC(F)(F)c1cc(cc(c1)C(F)(F)F)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1cc(cc(c1)C(F)(F)F)C(F)(F)F)-c1cc(cc(c1)C(F)(F)F)C(F)(F)F)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1cc(cc(c1)C(F)(F)F)C(F)(F)F)=NS(=O)(=O)C(F)(F)F,[C:2][c:1]1cc(cc(c1)C(F)(F)F)C(F)(F)F,FC(F)(F)S(=O)=O,toluene,0.185,313.15,50.0:50.0,0.5,0,0,,
29,b,CCC1(CC)c2ccccc2-c2ccc(cc12)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1ccc3-c4ccccc4C(CC)(CC)c3c1)-c1ccc3-c4ccccc4C(CC)(CC)c3c1)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1ccc2-c3ccccc3C(CC)(CC)c2c1)=NS(=O)(=O)C(F)(F)F,CCC1(CC)c2ccccc2-c2cc[c:1]([C:2])cc12,FC(F)(F)S(=O)=O,cyclohexane,0.05,333.15,85.0:15.0,0.85,4.8048,4.8048,,
30,b,FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2ccc3-c4ccccc4C4(CCCC4)c3c2)-c2ccc3-c4ccccc4C4(CCCC4)c3c2)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1ccc2-c3ccccc3C3(CCCC3)c2c1)-c1ccc2-c3ccccc3C3(CCCC3)c2c1,[C:2][c:1]1ccc2-c3ccccc3C3(CCCC3)c2c1,FC(F)(F)S(=O)=O,cyclohexane,0.05,333.15,83.0:17.0,0.83,4.3921,4.3921,,
31,b,FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2ccc3-c4ccccc4C4(CCCCC4)c3c2)-c2ccc3-c4ccccc4C4(CCCCC4)c3c2)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1ccc2-c3ccccc3C3(CCCCC3)c2c1)-c1ccc2-c3ccccc3C3(CCCCC3)c2c1,[C:2][c:1]1ccc2-c3ccccc3C3(CCCCC3)c2c1,FC(F)(F)S(=O)=O,cyclohexane,0.05,333.15,84.5:15.5,0.845,4.6976,4.6976,,
32,a,FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2cc(cc(c2)-c2ccccc2)-c2ccccc2)-c2cc(cc(c2)-c2ccccc2)-c2ccccc2)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cc(cc(c1)-c1ccccc1)-c1ccccc1)-c1cc(cc(c1)-c1ccccc1)-c1ccccc1,[C:2][c:1]1cc(cc(c1)-c1ccccc1)-c1ccccc1,FC(F)(F)S(=O)=O,toluene,0.185,313.15,60.0:40.0,0.6,1.0557,1.1824,,
33,a,FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2ccc(cc2)C23CC4CC(CC(C4)C2)C3)-c2ccc(cc2)C23CC4CC(CC(C4)C2)C3)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1ccc(cc1)C12CC3CC(CC(C3)C1)C2)-c1ccc(cc1)C12CC3CC(CC(C3)C1)C2,[C:2][c:1]1ccc(cc1)C12CC3CC(CC(C3)C1)C2,FC(F)(F)S(=O)=O,toluene,0.185,313.15,24.0:76.0,0.24,-3.0012,-3.3615,,
34,a,FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2ccc(cc2)-c2cc3ccccc3c3ccccc23)-c2ccc(cc2)-c2cc3ccccc3c3ccccc23)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1ccc(cc1)-c1cc2ccccc2c2ccccc12)-c1ccc(cc1)-c1cc2ccccc2c2ccccc12,[C:2][c:1]1ccc(cc1)-c1cc2ccccc2c2ccccc12,FC(F)(F)S(=O)=O,toluene,0.185,313.15,42.5:57.5,0.425,-0.787,-0.8815,,
